bin_left,bin_right,x_center,dns_count_RAW,phi_RAW,dns_count_NORM,phi_NORM
128.25011861085227,136.3061676805803,132.27814314571629,1424,17.893214687271094,1424,10.304699871313943
136.3061676805803,144.36221675030845,140.33419221544438,1291,21.473337463361567,1291,11.010814931048571
144.36221675030845,152.41826582003648,148.39024128517246,1203,21.213403646881424,1203,10.356441524987027
152.41826582003648,160.4743148897645,156.4462903549005,1095,25.763867471725742,1095,10.07217597280843
160.4743148897645,168.53036395949266,164.5023394246286,1059,20.1045817345141,1059,8.878113377041412
168.53036395949266,176.5864130292207,172.55838849435668,966,21.25590173392967,966,10.026977077972301
176.5864130292207,184.64246209894873,180.6144375640847,863,28.693532572039214,863,10.286531840787484
184.64246209894873,192.69851116867687,188.6704866338128,834,29.91158271017448,834,8.93296799725686
192.69851116867687,200.7545602384049,196.7265357035409,785,24.545618226648642,785,8.286935091885809
200.7545602384049,208.81060930813294,204.78258477326892,748,28.4763862358808,748,8.833092117976648
208.81060930813294,216.86665837786109,212.838633842997,705,61.522203403292494,705,8.680302257857615
216.86665837786109,224.92270744758912,220.8946829127251,625,31.12499035700663,625,8.3422163717807
224.92270744758912,232.97875651731715,228.95073198245314,633,37.27285228477508,633,8.384747337370788
232.97875651731715,241.0348055870453,237.00678105218122,601,33.21946621291962,601,8.110605459257455
241.0348055870453,249.09085465677333,245.06283012190931,562,38.749329146109226,562,9.211039806908033
249.09085465677333,257.14690372650136,253.11887919163735,524,37.12448371851128,524,8.917493073473205
257.14690372650136,265.2029527962295,261.17492826136544,475,40.96987708967354,475,8.398805583778364
265.2029527962295,273.25900186595754,269.2309773310935,449,40.74820794619799,449,8.23330333413559
273.25900186595754,281.3150509356856,277.28702640082156,461,38.752515831063434,461,7.993035636243435
281.3150509356856,289.3711000054137,285.34307547054965,400,39.316402030772245,400,8.63854535446142
289.3711000054137,297.42714907514176,293.39912454027774,420,47.93726347932953,420,9.183632106497287
297.42714907514176,305.4831981448698,301.4551736100058,369,52.39342657598761,369,7.772446567658539
305.4831981448698,313.5392472145978,309.5112226797338,338,49.297668586963496,338,9.474801976255602
313.5392472145978,321.59529628432585,317.56727174946184,368,46.751037847488455,368,7.793500151784963
321.59529628432585,329.6513453540541,325.62332081919,346,46.592682866351865,346,7.30743251477604
329.6513453540541,337.70739442378215,333.67936988891813,317,44.68041144699887,317,7.850747944042615
337.70739442378215,345.7634434935102,341.73541895864616,301,58.95918686757855,301,7.389893533135956
345.7634434935102,353.8194925632382,349.7914680283742,273,83.1324033642042,273,8.52779582480351
353.8194925632382,361.87554163296625,357.84751709810223,250,60.53671707787217,250,9.101795321890902
361.87554163296625,369.9315907026943,365.90356616783026,234,63.49208374733019,234,7.3298728653476015
369.9315907026943,377.98763977242254,373.9596152375584,222,71.23647250916669,222,9.06628153090422
377.98763977242254,386.0436888421506,382.01566430728656,249,47.1863178704098,249,6.667372667789573
386.0436888421506,394.0997379118786,390.0717133770146,256,51.76597153020363,256,6.545658855128301
394.0997379118786,402.15578698160664,398.1277624467426,229,60.71257022444592,229,6.317904464746781
402.15578698160664,410.21183605133467,406.18381151647066,209,73.34809326684726,209,6.884102525160296
