bin_left,bin_right,x_center,dns_count,dns_phi,aibm_count,aibm_phi
-32.87086278370907,-24.81481371398104,-28.842838248845055,14995,5.298001636701071,14995,2.987926173428416
-24.81481371398104,-16.758764644253006,-20.786789179117022,18315,3.799319496699746,18315,2.311078515968442
-16.758764644253006,-8.70271557452486,-12.730740109388933,22270,3.2586052028123302,22270,1.8627077695604195
-8.70271557452486,-0.6466665047968263,-4.674691039660843,25052,2.782144961647784,25052,1.6541653650283186
-0.6466665047968263,7.409382564931207,3.38135803006719,18812,3.056658683675028,18812,1.9051993571540295
7.409382564931207,15.465431634659353,11.43740709979528,12847,5.176631291975815,12847,3.5300122054472247
15.465431634659353,23.521480704387386,19.49345616952337,9717,5.141725360608009,9717,3.78960493812685
23.521480704387386,31.57752977411542,27.549505239251403,7497,6.112262914601884,7497,4.383811443011032
31.57752977411542,39.633578843843566,35.60555430897949,6310,6.351103310308168,6310,5.294532361387547
39.633578843843566,47.6896279135716,43.66160337870758,5251,8.244770402640412,5251,6.558270013278927
47.6896279135716,55.74567698329963,51.717652448435615,4473,10.068805356301876,4473,7.983221343763433
55.74567698329963,63.801726053027664,59.77370151816365,3761,10.466624845950024,3761,9.221540250927012
63.801726053027664,71.85777512275581,67.82975058789174,3254,11.335445048499713,3254,9.236472612695572
71.85777512275581,79.91382419248384,75.88579965761983,2899,12.929788296623146,2899,9.612828658281236
79.91382419248384,87.96987326221188,83.94184872734786,2655,14.557550681652,2655,10.989102639001759
87.96987326221188,96.02592233194002,91.99789779707595,2297,14.898157005803897,2297,10.58134511876855
96.02592233194002,104.08197140166806,100.05394686680404,2072,14.683497608325746,2072,13.59658006244127
104.08197140166806,112.13802047139609,108.10999593653207,1901,16.741332017742405,1901,13.293033657625209
112.13802047139609,120.19406954112424,116.16604500626016,1658,19.06580218862719,1658,16.639617160427896
120.19406954112424,128.25011861085227,124.22209407598825,1561,19.40915220797732,1561,16.695090862996846
128.25011861085227,136.3061676805803,132.27814314571629,1424,17.89321468727109,1424,17.879356626056076
136.3061676805803,144.36221675030845,140.33419221544438,1291,21.47333746336157,1291,20.187138438143222
144.36221675030845,152.41826582003648,148.39024128517246,1203,21.213403646881446,1203,19.959348577574886
152.41826582003648,160.4743148897645,156.4462903549005,1095,25.763867471725746,1095,21.964893316271525
160.4743148897645,168.53036395949266,164.5023394246286,1059,20.104581734514113,1059,22.810589498777222
168.53036395949266,176.5864130292207,172.55838849435668,966,21.25590173392967,966,20.683224993676895
176.5864130292207,184.64246209894873,180.6144375640847,863,28.693532572039214,863,23.612053003978446
184.64246209894873,192.69851116867687,188.6704866338128,834,29.911582710174486,834,29.160134896374977
192.69851116867687,200.7545602384049,196.7265357035409,785,24.54561822664864,785,28.556983324327668
200.7545602384049,208.81060930813294,204.78258477326892,748,28.476386235880817,748,28.23512002827927
208.81060930813294,216.86665837786109,212.838633842997,705,61.522203403292494,705,41.49202557687047
216.86665837786109,224.92270744758912,220.8946829127251,625,31.124990357006645,625,32.556524003829814
224.92270744758912,232.97875651731715,228.95073198245314,633,37.27285228477508,633,38.7278389942935
232.97875651731715,241.0348055870453,237.00678105218122,601,33.219466212919635,601,40.70331995536802
241.0348055870453,249.09085465677333,245.06283012190931,562,38.74932914610926,562,44.576618321967885
249.09085465677333,257.14690372650136,253.11887919163735,524,37.124483718511286,524,34.04286757407814
257.14690372650136,265.2029527962295,261.17492826136544,475,40.969877089673545,475,42.2818433719335
265.2029527962295,273.25900186595754,269.2309773310935,449,40.748207946197994,449,42.50710315438762
273.25900186595754,281.3150509356856,277.28702640082156,461,38.75251583106345,461,46.43428312042261
281.3150509356856,289.3711000054137,285.34307547054965,400,39.316402030772274,400,42.07091029706391
289.3711000054137,297.42714907514176,293.39912454027774,420,47.93726347932954,420,47.85420093626129
297.42714907514176,305.4831981448698,301.4551736100058,369,52.39342657598765,369,61.480829740240736
305.4831981448698,313.5392472145978,309.5112226797338,338,49.2976685869635,338,42.956917648507485
313.5392472145978,321.59529628432585,317.56727174946184,368,46.75103784748847,368,48.833316013100884
321.59529628432585,329.6513453540541,325.62332081919,346,46.59268286635189,346,67.06526897419694
329.6513453540541,337.70739442378215,333.67936988891813,317,44.68041144699891,317,46.32766160530105
337.70739442378215,345.7634434935102,341.73541895864616,301,58.95918686757859,301,57.481231726163166
345.7634434935102,353.8194925632382,349.7914680283742,273,83.1324033642042,273,79.44981988120081
353.8194925632382,361.87554163296625,357.84751709810223,250,60.53671707787218,250,62.92340444580385
361.87554163296625,369.9315907026943,365.90356616783026,234,63.49208374733021,234,60.60393804648988
369.9315907026943,377.98763977242254,373.9596152375584,222,71.23647250916669,222,69.76877192416636
377.98763977242254,386.0436888421506,382.01566430728656,249,47.186317870409844,249,63.2242636810776
386.0436888421506,394.0997379118786,390.0717133770146,256,51.7659715302037,256,82.54699779846612
394.0997379118786,402.15578698160664,398.1277624467426,229,60.71257022444597,229,73.66670268884216
402.15578698160664,410.21183605133467,406.18381151647066,209,73.34809326684727,209,80.22583990856018
410.21183605133467,418.2678851210627,414.2398605861987,201,62.34908438139709,201,71.47920707714528
418.2678851210627,426.32393419079096,422.29590965592683,193,66.49662144241405,193,66.28989989332702
426.32393419079096,434.379983260519,430.351958725655,191,73.51629355614344,191,104.0498203867816
434.379983260519,442.43603233024703,438.408007795383,177,85.959311512616,177,77.90797106129156
442.43603233024703,450.49208139997506,446.46405686511105,189,60.70213874941404,189,94.07530410026624
450.49208139997506,458.5481304697031,454.5201059348391,183,75.2296496234506,183,92.06916486980037
458.5481304697031,466.60417953943113,462.5761550045671,150,70.99389308029835,150,85.61666167271196
